Team,Player,Rating,Goal,AS,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
TOT,Llois,7.9,0,0,0,0,22,13,0,0,0,0,0,0
TOT,Reguilón,7.2,0,0,0,0,36,24,2,1,5,2,0,0
TOT,Dier,7.1,0,0,1,1,41,33,1,0,0,0,0,0
TOT,Sánchez,7.1,0,0,0,0,33,30,0,0,4,2,0,0
TOT,Tanganga,6.9,0,0,0,0,27,19,0,0,2,0,1,0
TOT,Alli,7.7,1,0,1,1,32,26,7,1,2,2,0,0
TOT,Skipp,6.4,0,0,0,0,47,39,0,0,6,3,1,0
TOT,Højbjerg,7,0,0,1,0,46,43,3,2,5,2,1,0
TOT,Bergwijn,6.9,0,0,2,2,24,12,4,2,1,0,0,0
TOT,Heung-Min,6.5,0,0,2,1,14,10,2,2,1,0,0,0
TOT,Moura,6.8,0,0,0,0,15,20,0,0,4,3,0,0
TOT,Winks,6.1,0,0,0,0,0,0,0,0,1,1,0,0
TOT,Kane,6.1,0,0,1,1,10,6,0,0,0,0,0,0
TOT,Celso,6.5,0,0,0,0,9,9,3,1,6,3,0,0
WOL,Sá,6.6,0,0,0,0,15,13,0,0,0,0,0,0
WOL,Saïss,6.7,0,0,1,0,55,46,0,0,3,3,0,0
WOL,Coady,7.1,0,0,0,0,47,39,0,0,3,2,0,0
WOL,Kilman,7.4,0,0,0,0,51,46,1,1,9,6,0,0
WOL,Marçal,7.2,0,0,1,0,51,42,0,0,5,4,0,0
WOL,Moutinho,6.8,0,0,1,1,39,32,1,1,4,2,0,0
WOL,Neves,7.7,0,0,4,1,70,57,1,1,7,6,0,0
WOL,Semedo,6.5,0,0,2,0,46,39,4,3,4,3,0,0
WOL,Traoré,8.3,0,0,4,1,34,26,10,9,1,1,0,0
WOL,Jiménez,6.2,0,0,5,0,25,21,2,1,0,0,1,0
WOL,Trincão,6.9,0,0,4,3,24,22,2,1,1,1,0,0
WOL,Silva,6.3,0,0,1,1,0,0,0,0,0,0,0,0
WOL,Aït-Nouri,6.3,0,0,1,0,3,2,2,2,0,0,0,0
WOL,Dendoncker,6.2,0,0,1,0,10,9,0,0,1,1,0,0
