,ID,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,364215,Oliver Skipp,6.3,0,0,0,0,19,17,0,0,2,2,0,0
1,368519,Bryan Gil,6.0,0,0,0,0,10,8,2,1,0,0,0,0
2,322655,Davinson Sánchez,6.0,0,0,0,0,10,8,0,0,0,0,0,0
3,94042,Matt Doherty,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,240990,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,143990,Harry Winks,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,407154,Dane Scarlett,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,103837,Ben Davies,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,302312,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,25604,Hugo Lloris,6.7,0,0,0,0,25,17,0,0,0,0,0,0
10,328512,Emerson Royal,6.8,0,0,0,0,31,25,0,0,6,5,0,0
11,323663,Cristian Romero,6.8,0,0,0,0,42,37,0,0,3,3,0,0
12,117973,Eric Dier,6.9,0,0,0,0,64,54,0,0,2,0,0,0
13,362275,Sergio Reguilón,6.1,0,0,0,0,49,39,1,1,3,2,0,0
14,101859,Pierre-Emile Højbjerg,6.6,0,0,0,0,68,57,0,0,5,3,0,0
15,321389,Tanguy Ndombele,6.1,0,0,1,0,37,33,1,1,4,3,0,0
16,131519,Dele Alli,6.4,0,0,0,0,39,30,4,2,2,2,0,0
17,303908,Giovani Lo Celso,5.9,0,0,3,0,28,24,2,0,0,0,0,0
18,83532,Harry Kane,6.2,0,0,2,1,28,21,2,1,0,0,0,0
19,91909,Son Heung-Min,6.1,0,0,2,1,30,25,2,1,1,0,0,0
20,113880,Kepa Arrizabalaga,7.2,0,0,0,0,24,22,0,0,0,0,0,0
21,28550,Thiago Silva,8.8,1,0,2,2,62,53,0,0,2,1,0,0
22,130331,Andreas Christensen,7.6,0,0,1,0,56,49,1,1,0,0,0,0
23,104010,Antonio Rüdiger,8.3,1,0,2,2,51,46,0,0,0,0,0,0
24,25931,César Azpilicueta,7.3,0,0,0,0,50,40,0,0,5,2,0,0
25,84008,Marcos Alonso,8.5,0,1,4,2,52,47,3,1,0,0,0,0
26,93894,Mateo Kovacic,7.7,0,1,1,1,60,53,2,0,6,6,0,0
27,106968,Jorginho,7.2,0,0,0,0,68,59,1,1,4,2,0,0
28,326413,Kai Havertz,6.1,0,0,3,0,25,20,3,0,1,1,0,0
29,343346,Mason Mount,6.4,0,0,2,0,18,18,3,1,1,0,0,0
30,78498,Romelu Lukaku,8.0,0,0,3,1,18,13,4,3,1,1,0,0
31,130903,Timo Werner,6.5,0,1,1,1,8,8,0,0,0,0,1,0
32,114075,N'Golo Kanté,7.9,1,0,1,1,33,29,1,1,2,2,0,0
33,115868,Hakim Ziyech,0.0,0,0,0,0,0,0,0,0,0,0,0,0
34,112161,Saúl Ñíguez,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,135768,Marcus Bettinelli,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,299272,Ben Chilwell,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,350088,Callum Hudson-Odoi,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,353292,Trevoh Chalobah,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,361330,Reece James,0.0,0,0,0,0,0,0,0,0,0,0,0,0
