,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,131519,sub,Dele Alli,6.0,0,0,0,0,11,8,0,0,0,0,0,0
1,279425,sub,Steven Bergwijn,5.9,0,0,0,0,14,12,0,0,2,0,0,0
2,321389,sub,Tanguy Ndombele,6.3,0,0,0,0,25,24,1,1,1,1,0,0
3,322655,sub,Davinson Sánchez,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,94042,sub,Matt Doherty,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,362275,sub,Sergio Reguilón,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,384063,sub,Japhet Tanganga,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,25604,GK,Hugo Lloris,5.5,0,0,0,0,22,18,0,0,0,0,0,0
10,328512,DR,Emerson Royal,7.3,0,0,0,0,83,74,4,4,4,4,0,0
11,323663,DC,Cristian Romero,6.4,0,0,0,0,54,46,1,1,3,3,1,0
12,117973,DC,Eric Dier,5.8,0,0,1,0,57,50,0,0,0,0,0,0
13,103837,DL,Ben Davies,5.6,0,0,1,0,46,33,0,0,1,1,1,0
14,101859,DMC,Pierre-Emile Højbjerg,6.2,0,0,0,0,86,75,5,1,0,0,0,0
15,364215,DMC,Oliver Skipp,5.8,0,0,0,0,34,30,0,0,4,1,0,0
16,92508,AMR,Lucas Moura,7.4,0,0,0,0,26,21,8,5,4,3,0,0
17,303908,AMC,Giovani Lo Celso,7.1,0,0,3,0,53,47,6,4,4,3,0,0
18,91909,AML,Son Heung-Min,6.2,0,0,3,0,41,35,3,2,2,1,0,0
19,83532,FW,Harry Kane,6.4,0,0,1,0,18,13,3,1,2,2,0,0
20,79554,GK,David de Gea,6.6,0,0,0,0,23,15,0,0,0,0,0,0
21,93206,DC,Raphaël Varane,7.2,0,0,0,0,28,25,0,0,2,1,0,0
22,100008,DC,Victor Lindelöf,6.9,0,0,0,0,41,34,0,0,1,0,0,0
23,99487,DC,Harry Maguire,7.2,0,0,0,0,45,38,0,0,2,2,1,0
24,331924,DMR,Aaron Wan-Bissaka,7.1,0,0,1,0,42,37,3,1,2,1,0,0
25,118244,DML,Luke Shaw,7.8,0,0,0,0,42,30,1,1,3,3,1,0
26,114397,MC,Fred,6.9,0,0,1,1,42,36,2,0,8,4,1,0
27,123761,MC,Bruno Fernandes,7.4,0,1,0,0,50,34,1,1,6,1,0,0
28,336915,MC,Scott McTominay,7.7,0,0,1,0,39,36,3,3,7,4,0,0
29,5583,FW,Cristiano Ronaldo,8.5,1,1,2,1,28,23,1,1,1,0,0,0
30,24328,FW,Edinson Cavani,7.4,1,0,4,1,22,16,1,1,4,1,0,0
31,300299,sub,Marcus Rashford,6.9,1,0,1,1,8,5,0,0,0,0,0,0
32,109000,sub,Jesse Lingard,6.1,0,0,0,0,3,2,0,0,0,0,0,0
33,38128,sub,Nemanja Matic,6.9,0,1,0,0,8,8,0,0,0,0,0,0
34,275035,sub,Donny van de Beek,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,353418,sub,Diogo Dalot,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,304008,sub,Dean Henderson,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,367782,sub,Mason Greenwood,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,346300,sub,Jadon Sancho,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,243814,sub,Eric Bailly,0.0,0,0,0,0,0,0,0,0,0,0,0,0
