,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,131519,sub,Dele Alli,5.9,0,0,0,0,0,0,0,0,0,0,0,0
1,322611,sub,Ryan Sessegnon,6.3,0,0,0,0,3,2,0,0,0,0,0,0
2,322655,sub,Davinson Sánchez,7.0,0,0,0,0,8,5,0,0,3,2,0,0
3,321389,sub,Tanguy Ndombele,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,94042,sub,Matt Doherty,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,279425,sub,Steven Bergwijn,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,368519,sub,Bryan Gil,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,25604,GK,Hugo Lloris,7.4,0,0,0,0,19,14,0,0,0,0,0,0
10,384063,DC,Japhet Tanganga,6.8,0,0,0,0,36,29,3,2,2,2,0,0
11,117973,DC,Eric Dier,6.9,0,0,1,0,65,53,0,0,0,0,0,0
12,103837,DC,Ben Davies,6.5,0,0,1,1,21,17,0,0,2,0,0,0
13,328512,DMR,Emerson Royal,7.0,0,0,0,0,24,19,0,0,9,7,1,0
14,362275,DML,Sergio Reguilón,7.7,1,0,2,1,20,14,4,0,3,1,0,0
15,101859,MC,Pierre-Emile Højbjerg,7.2,1,0,2,1,54,47,1,0,1,0,0,0
16,143990,MC,Harry Winks,6.8,0,0,0,0,48,40,2,1,4,2,0,0
17,92508,AMC,Lucas Moura,7.5,0,1,1,0,34,22,6,3,2,1,0,0
18,91909,AMC,Son Heung-Min,6.8,0,0,2,0,37,33,5,3,3,1,0,0
19,83532,FW,Harry Kane,7.4,0,0,4,1,23,19,7,3,2,2,0,0
20,380580,GK,Illan Meslier,6.5,0,0,0,0,35,22,0,0,0,0,0,0
21,123232,DC,Diego Llorente,6.9,0,0,0,0,56,48,3,2,4,3,0,0
22,270446,DC,Kalvin Phillips,6.8,0,0,2,1,88,76,2,0,6,4,1,0
23,44148,DC,Liam Cooper,6.4,0,0,0,0,66,60,0,0,4,3,1,0
24,355609,MC,Pascal Struijk,6.9,0,0,1,0,45,38,1,1,4,3,0,0
25,82972,MC,Adam Forshaw,6.1,0,0,2,0,49,45,0,0,3,1,1,0
26,134143,MC,Stuart Dallas,7.8,0,0,1,0,47,38,3,2,4,4,0,0
27,302313,AMR,Daniel James,7.5,1,0,7,4,20,13,1,1,1,0,0,0
28,69638,AMC,Mateusz Klich,6.2,0,0,0,0,30,26,1,0,2,0,0,0
29,317896,AML,Jack Harrison,7.1,0,1,0,0,41,32,4,1,2,2,0,0
30,362192,FW,Joe Gelhardt,6.9,0,0,4,2,19,15,7,5,1,0,1,0
31,280771,sub,Tyler Roberts,5.9,0,0,0,0,5,1,1,0,0,0,0,0
32,425382,sub,Stuart McKinstry,6.0,0,0,0,0,3,2,0,0,0,0,0,0
33,351252,sub,Junior Firpo,6.4,0,0,1,0,17,14,1,1,1,0,0,0
34,335718,sub,Kristoffer Klaesson,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,405475,sub,Jack Jenkins,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,409078,sub,Sam Greenwood,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,414473,sub,Cody Drameh,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,400646,sub,Charlie Cresswell,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,366056,sub,Liam McCarron,0.0,0,0,0,0,0,0,0,0,0,0,0,0
