,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,322611,sub,Ryan Sessegnon,6.4,0,0,0,0,19,16,4,1,1,0,0,0
1,279425,sub,Steven Bergwijn,6.0,0,0,0,0,5,5,0,0,2,0,0,0
2,94042,sub,Matt Doherty,6.5,0,0,1,0,18,14,0,0,1,1,0,0
3,321389,sub,Tanguy Ndombele,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,407154,sub,Dane Scarlett,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,131519,sub,Dele Alli,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,143990,sub,Harry Winks,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,25604,GK,Hugo Lloris,7.2,0,0,0,0,23,21,0,0,0,0,0,0
10,322655,DC,Davinson Sánchez,8.2,1,0,1,1,50,38,0,0,4,4,0,0
11,117973,DC,Eric Dier,6.9,0,0,0,0,54,48,0,0,2,1,0,0
12,103837,DC,Ben Davies,7.7,0,1,1,0,46,38,0,0,1,1,0,0
13,384063,DMR,Japhet Tanganga,6.5,0,0,0,0,22,21,1,1,2,1,0,0
14,362275,DML,Sergio Reguilón,6.4,0,0,0,0,6,5,0,0,1,1,1,0
15,101859,MC,Pierre-Emile Højbjerg,7.0,0,0,2,1,69,65,0,0,1,0,0,0
16,364215,MC,Oliver Skipp,7.2,0,0,2,1,50,47,1,1,0,0,0,0
17,92508,AMC,Lucas Moura,8.7,1,0,2,1,35,30,3,3,1,1,0,0
18,91909,AMC,Son Heung-Min,8.4,1,1,3,1,42,35,3,1,1,0,0,0
19,83532,FW,Harry Kane,7.4,0,0,5,2,20,11,4,2,1,0,0,0
20,22319,GK,Tim Krul,6.1,0,0,0,0,34,28,0,0,0,0,0,0
21,362103,DR,Max Aarons,6.4,0,0,0,0,46,39,3,2,5,5,0,0
22,86458,DC,Ben Gibson,6.1,0,0,0,0,107,94,0,0,1,1,0,0
23,86593,DC,Grant Hanley,6.6,0,0,2,0,106,99,0,0,2,2,0,0
24,399490,DC,Andrew Omobamidele,5.8,0,0,1,0,97,90,0,0,3,1,0,0
25,384143,DL,Brandon Williams,6.7,0,0,1,0,66,59,2,1,5,3,0,0
26,301243,MC,Pierre Lees-Melou,6.2,0,0,1,0,34,29,0,0,3,2,0,0
27,82917,MC,Kenny McLean,6.1,0,0,0,0,50,45,2,1,0,0,0,0
28,381255,MC,Billy Gilmour,5.8,0,0,2,0,71,65,0,0,4,1,1,0
29,25028,FW,Teemu Pukki,6.5,0,0,2,1,18,13,4,2,1,1,1,0
30,382368,FW,Adam Idah,5.7,0,0,1,0,12,8,0,0,2,1,0,0
31,404572,sub,Jacob Sørensen,6.2,0,0,0,0,10,8,1,1,0,0,0,0
32,136458,sub,Kieran Dowell,5.9,0,0,0,0,11,8,0,0,0,0,0,0
33,367480,sub,Joshua Sargent,6.1,0,0,0,0,5,4,1,1,1,1,0,0
34,79533,sub,Lukas Rupp,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,399296,sub,Christos Tzolis,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,296838,sub,Dimitris Giannoulis,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,356743,sub,Ozan Kabak,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,318896,sub,Angus Gunn,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,346738,sub,Todd Cantwell,0.0,0,0,0,0,0,0,0,0,0,0,0,0
