,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,33386,sub,Ashley Barnes,6.0,0,0,0,0,2,2,0,0,0,0,0,0
1,74606,sub,Kevin Long,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2,372724,sub,Nathan Collins,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3,24238,sub,Dale Stephens,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,80067,sub,Matthew Lowton,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,382437,sub,Lewis Richardson,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,18181,sub,Phil Bardsley,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,21571,sub,Wayne Hennessey,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,395615,sub,Bobby Thomas,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,105720,GK,Nick Pope,6.9,0,0,0,0,24,11,0,0,0,0,0,0
10,135865,DR,Connor Roberts,7.6,0,0,0,0,31,28,3,3,0,0,0,0
11,94935,DC,Ben Mee,8.5,1,0,4,2,38,27,1,1,1,1,0,0
12,131464,DC,James Tarkowski,7.8,0,0,1,0,24,21,0,0,0,0,0,0
13,24148,DL,Erik Pieters,7.4,0,0,0,0,32,26,0,0,1,1,0,0
14,5625,MR,Aaron Lennon,6.1,0,0,0,0,13,8,2,0,2,0,0,0
15,22847,MC,Jack Cork,7.2,0,0,0,0,40,33,1,1,2,1,0,0
16,138929,MC,Josh Brownhill,8.4,0,1,4,1,42,38,2,1,5,2,0,0
17,357427,ML,Dwight McNeil,7.8,0,0,2,0,36,33,6,5,6,1,0,0
18,115479,FW,Wout Weghorst,6.7,0,0,1,0,21,15,5,1,3,2,0,0
19,33891,FW,Jay Rodriguez,7.3,0,0,3,1,23,17,3,3,4,3,0,0
20,25604,GK,Hugo Lloris,7.1,0,0,0,0,25,20,0,0,0,0,0,0
21,323663,DC,Cristian Romero,7.2,0,0,2,0,92,72,2,1,4,3,0,0
22,117973,DC,Eric Dier,6.6,0,0,0,0,91,84,0,0,1,1,0,0
23,103837,DC,Ben Davies,6.7,0,0,1,1,85,79,1,1,4,1,0,0
24,328512,DMR,Emerson Royal,7.0,0,0,1,0,47,36,3,2,4,1,0,0
25,322611,DML,Ryan Sessegnon,6.5,0,0,0,0,35,32,1,1,2,2,0,0
26,101859,MC,Pierre-Emile Højbjerg,6.9,0,0,0,0,78,66,3,2,9,5,0,0
27,303657,MC,Rodrigo Bentancur,6.3,0,0,0,0,42,37,0,0,2,1,0,0
28,355855,AMC,Dejan Kulusevski,6.6,0,0,3,0,34,27,2,2,2,1,0,0
29,91909,AMC,Son Heung-Min,6.8,0,0,0,0,29,26,2,2,0,0,0,0
30,83532,FW,Harry Kane,6.8,0,0,3,0,29,19,3,2,1,0,0,0
31,143990,sub,Harry Winks,5.8,0,0,0,0,43,38,0,0,1,0,0,0
32,279425,sub,Steven Bergwijn,6.1,0,0,1,1,3,2,0,0,0,0,0,0
33,92508,sub,Lucas Moura,5.8,0,0,1,0,6,5,0,0,0,0,0,0
34,322655,sub,Davinson Sánchez,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,94042,sub,Matt Doherty,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,362275,sub,Sergio Reguilón,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,386134,sub,Brandon Austin,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,407154,sub,Dane Scarlett,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
