,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,368519,sub,Bryan Gil,6.2,0,0,0,0,11,9,0,0,1,1,0,0
1,279425,sub,Steven Bergwijn,6.3,0,0,2,1,6,4,1,0,0,0,0,0
2,321389,sub,Tanguy Ndombele,6.0,0,0,0,0,9,9,0,0,1,0,0,0
3,94042,sub,Matt Doherty,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,131519,sub,Dele Alli,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,143990,sub,Harry Winks,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,103837,sub,Ben Davies,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,25604,GK,Hugo Lloris,6.9,0,0,0,0,11,8,0,0,0,0,0,0
10,322655,DC,Davinson Sánchez,7.5,0,0,1,0,76,73,1,0,3,3,1,0
11,384063,DC,Japhet Tanganga,7.5,0,0,2,0,70,65,0,0,2,2,0,0
12,117973,DC,Eric Dier,6.8,0,0,0,0,85,80,0,0,0,0,0,0
13,328512,DMR,Emerson Royal,8.7,0,1,1,1,56,51,4,0,7,6,0,0
14,362275,DML,Sergio Reguilón,8.5,0,0,1,0,49,38,3,2,7,5,0,0
15,101859,MC,Pierre-Emile Højbjerg,7.5,0,0,0,0,71,63,2,1,2,2,0,0
16,364215,MC,Oliver Skipp,7.7,0,0,1,0,82,79,2,1,3,3,0,0
17,92508,AMC,Lucas Moura,8.9,1,2,5,1,29,25,2,2,1,0,0,0
18,91909,AMC,Son Heung-Min,8.3,1,0,2,2,30,28,2,2,2,1,0,0
19,83532,FW,Harry Kane,7.4,1,0,2,1,17,16,1,1,0,0,0,0
20,107395,GK,Jack Butland,5.8,0,0,0,0,31,15,0,0,0,0,0,0
21,43105,DR,Joel Ward,6.5,0,0,0,0,51,44,3,2,2,1,0,0
22,231135,DC,Joachim Andersen,6.1,0,0,0,0,54,46,0,0,3,1,0,0
23,33930,DC,James Tomkins,5.6,0,0,1,0,46,45,0,0,0,0,1,0
24,389579,DL,Tyrick Mitchell,6.4,0,0,0,0,53,44,3,1,3,3,0,0
25,66741,MC,Cheikhou Kouyaté,6.3,0,0,0,0,35,31,1,1,2,1,0,0
26,108638,MC,Will Hughes,6.6,0,0,0,0,36,31,0,0,6,5,0,0
27,375621,MC,Conor Gallagher,6.2,0,0,0,0,25,24,3,0,5,3,0,0
28,67491,FWR,Jordan Ayew,5.9,0,0,3,0,22,20,3,1,3,1,0,0
29,317504,FW,Odsonne Édouard,6.0,0,0,0,0,20,14,1,0,1,1,0,0
30,85059,FWL,Wilfried Zaha,4.5,0,0,0,0,17,14,2,0,1,1,2,0
31,349891,sub,Nathan Ferguson,6.0,0,0,0,0,3,1,0,0,0,0,0,0
32,91822,sub,Jeffrey Schlupp,6.3,0,0,0,0,3,0,2,1,1,1,0,0
33,328096,sub,Jean-Philippe Mateta,6.1,0,0,0,0,10,7,0,0,0,0,0,0
34,141246,sub,Jairo Riedewald,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,44687,sub,Martin Kelly,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,229492,sub,Remi Matthews,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,374631,sub,Marc Guéhi,0.0,0,0,0,0,0,0,0,0,0,0,0,0
