,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,362501,sub,Cucho Hernández,6.0,0,0,0,0,0,0,0,0,0,0,0,0
1,69956,sub,Tom Cleverley,5.9,0,0,0,0,0,0,0,0,0,0,0,0
2,373525,sub,João Pedro,6.3,0,0,2,1,7,4,3,1,1,0,0,0
3,115639,sub,Ozan Tufan,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,13846,sub,Dan Gosling,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,302206,sub,Ashley Fletcher,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,390700,sub,Jeremy Ngakia,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,425565,sub,James Morris,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,429599,sub,Vincent Angelini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,141468,GK,Daniel Bachmann,7.4,0,0,0,0,35,20,0,0,0,0,0,0
10,25241,DR,Craig Cathcart,6.4,0,0,0,0,23,17,0,0,2,2,0,0
11,362761,DC,Francisco Sierralta,7.2,0,0,0,0,22,15,0,0,3,2,0,0
12,133400,DC,William Troost-Ekong,6.3,0,0,0,0,24,18,0,0,2,1,0,0
13,137512,DL,Adam Masina,6.4,0,0,0,0,28,19,1,1,5,1,0,0
14,32514,MR,Juraj Kucka,7.4,0,0,0,0,33,19,1,0,3,3,0,0
15,29595,MC,Moussa Sissoko,6.3,0,0,0,0,22,16,2,1,0,0,0,0
16,367217,MC,Imrân Louza,7.1,0,0,0,0,25,21,3,3,6,4,0,0
17,145392,ML,Ken Sema,7.0,0,0,1,1,9,4,3,2,5,3,0,0
18,329811,FW,Emmanuel Dennis,6.2,0,0,1,1,10,5,4,1,2,0,0,0
19,81026,FW,Joshua King,6.8,0,0,2,1,13,10,2,1,0,0,0,0
20,25604,GK,Hugo Lloris,7.6,0,0,0,0,16,16,0,0,1,1,0,0
21,322655,DC,Davinson Sánchez,7.9,1,0,2,1,90,80,0,0,0,0,0,0
22,117973,DC,Eric Dier,6.8,0,0,0,0,92,84,0,0,0,0,0,0
23,103837,DC,Ben Davies,7.3,0,0,2,0,82,73,0,0,3,3,0,0
24,328512,DMR,Emerson Royal,7.9,0,0,1,0,82,73,5,3,4,2,0,0
25,362275,DML,Sergio Reguilón,6.7,0,0,2,1,33,30,1,0,5,4,0,0
26,101859,MC,Pierre-Emile Højbjerg,7.1,0,0,3,2,91,80,1,0,3,1,0,0
27,364215,MC,Oliver Skipp,6.4,0,0,0,0,54,48,0,0,1,1,1,0
28,92508,FWR,Lucas Moura,7.0,0,0,1,1,45,40,3,2,4,1,0,0
29,83532,FW,Harry Kane,7.4,0,0,6,3,31,23,2,1,0,0,0,0
30,91909,FWL,Son Heung-Min,8.1,0,1,4,1,48,40,9,6,3,1,0,0
31,143990,sub,Harry Winks,6.4,0,0,0,0,37,34,0,0,2,2,0,0
32,368519,sub,Bryan Gil,6.1,0,0,0,0,3,3,0,0,0,0,0,0
33,303908,sub,Giovani Lo Celso,6.3,0,0,0,0,11,11,1,1,0,0,0,0
34,321389,sub,Tanguy Ndombele,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,94042,sub,Matt Doherty,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,131519,sub,Dele Alli,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,384063,sub,Japhet Tanganga,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
