,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,302312,sub,Joe Rodon,6.0,0,0,0,0,11,9,0,0,0,0,0,0
1,279425,sub,Steven Bergwijn,5.9,0,0,0,0,3,3,0,0,0,0,0,0
2,92508,sub,Lucas Moura,6.2,0,0,0,0,10,6,2,1,0,0,0,0
3,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,395511,sub,Harvey White,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,407154,sub,Dane Scarlett,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,143990,sub,Harry Winks,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,409089,sub,Alfie Devine,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,437758,sub,Matthew Craig,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,25604,GK,Hugo Lloris,7.8,0,0,0,0,18,13,0,0,0,0,0,0
10,322655,DC,Davinson Sánchez,7.0,0,0,0,0,91,83,0,0,2,1,0,0
11,117973,DC,Eric Dier,7.2,0,0,0,0,86,78,0,0,1,1,0,0
12,103837,DC,Ben Davies,7.2,0,0,0,0,72,64,0,0,1,1,1,0
13,328512,DMR,Emerson Royal,7.3,0,0,3,1,53,50,0,0,8,5,0,0
14,322611,DML,Ryan Sessegnon,7.2,0,0,1,0,20,16,1,1,3,2,0,0
15,101859,MC,Pierre-Emile Højbjerg,7.3,0,0,0,0,79,73,0,0,3,3,0,0
16,303657,MC,Rodrigo Bentancur,7.8,0,0,1,0,58,55,2,2,4,2,0,0
17,355855,AMC,Dejan Kulusevski,6.7,0,0,0,0,24,21,0,0,2,1,0,0
18,91909,AMC,Son Heung-Min,8.2,1,0,2,1,19,17,0,0,0,0,0,0
19,83532,FW,Harry Kane,8.7,2,0,9,4,17,14,1,1,0,0,0,0
20,316858,GK,Aaron Ramsdale,5.8,0,0,0,0,38,20,0,0,0,0,0,0
21,69945,DR,Cédric Soares,5.3,0,0,0,0,40,35,1,0,0,0,0,0
22,334087,DC,Gabriel Magalhães,6.6,0,0,0,0,44,39,0,0,3,2,0,0
23,288795,DC,Rob Holding,4.6,0,0,0,0,21,18,0,0,0,0,2,0
24,377283,DL,Takehiro Tomiyasu,6.0,0,0,0,0,39,36,0,0,0,0,0,0
25,125209,DMC,Mohamed Elneny,6.2,0,0,0,0,52,48,0,0,2,2,0,0
26,89401,DMC,Granit Xhaka,5.7,0,0,1,0,55,47,0,0,1,1,0,0
27,367185,AMR,Bukayo Saka,6.2,0,0,2,0,23,17,3,2,0,0,0,0
28,247454,AMC,Martin Ødegaard,6.2,0,0,4,3,51,49,2,0,2,0,1,0
29,380706,AML,Gabriel Martinelli,7.0,0,0,0,0,20,16,10,6,0,0,0,0
30,345845,FW,Eddie Nketiah,5.9,0,0,1,1,9,8,3,0,0,0,0,0
31,363686,sub,Emile Smith Rowe,6.0,0,0,0,0,10,10,0,0,0,0,1,0
32,379790,sub,Nuno Tavares,6.1,0,0,0,0,6,6,1,0,2,1,0,0
33,73078,sub,Alexandre Lacazette,6.0,0,0,0,0,4,2,0,0,1,0,0,0
34,349102,sub,Albert Sambi Lokonga,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,92173,sub,Bernd Leno,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,322036,sub,Benjamin White,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,430270,sub,Charlie Patino,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,239872,sub,Nicolas Pépé,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,433403,sub,Zak Swanson,0.0,0,0,0,0,0,0,0,0,0,0,0,0
