,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,84008,sub,Marcos Alonso,6.1,0,0,0,0,4,4,2,0,0,0,0,0
1,112161,sub,Saúl Ñíguez,6.0,0,0,0,0,1,1,0,0,0,0,0,0
2,114075,sub,N'Golo Kanté,6.2,0,0,0,0,21,15,1,0,1,1,0,0
3,326413,sub,Kai Havertz,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,130903,sub,Timo Werner,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,302692,sub,Christian Pulisic,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,92547,sub,Ross Barkley,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,135768,sub,Marcus Bettinelli,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,353292,sub,Trevoh Chalobah,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,113880,GK,Kepa Arrizabalaga,7.5,0,0,0,0,21,17,0,0,0,0,0,0
10,25931,DR,César Azpilicueta,7.0,0,0,0,0,75,66,0,0,3,3,0,0
11,28550,DC,Thiago Silva,7.9,0,0,3,1,76,73,0,0,0,0,1,0
12,104010,DC,Antonio Rüdiger,7.1,0,0,0,0,76,71,0,0,0,0,0,0
13,322747,DL,Malang Sarr,6.8,0,0,0,0,73,68,0,0,0,0,0,0
14,93894,MC,Mateo Kovacic,7.1,0,0,0,0,55,45,1,1,2,2,0,0
15,106968,MC,Jorginho,7.4,0,0,0,0,51,44,0,0,5,3,0,0
16,343346,MC,Mason Mount,7.6,0,0,3,1,30,27,1,0,2,1,0,0
17,115868,FWR,Hakim Ziyech,9.2,1,0,5,4,63,45,3,2,6,4,0,0
18,78498,FW,Romelu Lukaku,6.6,0,0,3,1,20,13,0,0,1,0,0,0
19,350088,FWL,Callum Hudson-Odoi,7.3,0,1,1,0,40,37,5,3,3,1,0,0
20,25604,GK,Hugo Lloris,6.7,0,0,0,0,22,18,0,0,0,0,0,0
21,384063,DR,Japhet Tanganga,5.7,0,0,0,0,6,5,0,0,4,1,0,0
22,322655,DC,Davinson Sánchez,6.8,0,0,0,0,46,40,1,1,2,2,0,0
23,117973,DC,Eric Dier,6.2,0,0,0,0,52,44,1,1,0,0,0,0
24,103837,DL,Ben Davies,6.0,0,0,0,0,30,15,0,0,2,1,0,0
25,94042,MR,Matt Doherty,6.2,0,0,1,0,23,17,1,0,4,4,0,0
26,101859,MC,Pierre-Emile Højbjerg,6.7,0,0,0,0,41,32,0,0,3,3,0,0
27,143990,MC,Harry Winks,7.1,0,0,1,1,38,32,3,2,0,0,0,0
28,322611,ML,Ryan Sessegnon,5.9,0,0,1,0,8,4,1,0,1,1,0,0
29,279425,FW,Steven Bergwijn,6.5,0,0,2,1,13,10,4,3,1,0,0,0
30,83532,FW,Harry Kane,6.4,0,0,1,1,19,13,2,1,1,0,0,0
31,364215,sub,Oliver Skipp,6.3,0,0,0,0,23,21,0,0,1,1,0,0
32,368519,sub,Bryan Gil,6.0,0,0,0,0,0,0,0,0,0,0,0,0
33,92508,sub,Lucas Moura,6.1,0,0,0,0,20,16,0,0,1,1,0,0
34,328512,sub,Emerson Royal,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,362275,sub,Sergio Reguilón,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,395511,sub,Harvey White,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,407154,sub,Dane Scarlett,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
