,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,303657,sub,Rodrigo Bentancur,6.4,0,0,1,0,25,21,1,1,2,1,0,0
1,355855,sub,Dejan Kulusevski,6.0,0,0,0,0,6,6,1,1,1,0,0,0
2,279425,sub,Steven Bergwijn,5.9,0,0,0,0,3,1,0,0,0,0,0,0
3,94042,sub,Matt Doherty,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,322611,sub,Ryan Sessegnon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,395511,sub,Harvey White,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,407154,sub,Dane Scarlett,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,25604,GK,Hugo Lloris,7.3,0,0,0,0,19,14,0,0,0,0,0,0
10,323663,DC,Cristian Romero,6.6,0,0,0,0,44,38,0,0,5,3,1,0
11,322655,DC,Davinson Sánchez,6.2,0,0,0,0,55,42,0,0,6,6,1,0
12,103837,DC,Ben Davies,6.8,0,0,1,0,44,35,0,0,3,3,0,0
13,328512,DMR,Emerson Royal,6.4,0,0,0,0,44,32,0,0,2,1,0,0
14,362275,DML,Sergio Reguilón,7.1,0,0,2,1,26,24,0,0,0,0,0,0
15,101859,MC,Pierre-Emile Højbjerg,6.4,0,0,0,0,35,29,0,0,0,0,0,0
16,143990,MC,Harry Winks,6.0,0,0,0,0,54,47,1,1,4,1,0,0
17,92508,AMC,Lucas Moura,7.9,0,1,1,0,29,19,4,3,3,2,0,0
18,91909,AMC,Son Heung-Min,7.0,1,0,1,1,22,22,8,2,1,1,0,0
19,83532,FW,Harry Kane,6.7,0,0,2,1,27,17,3,1,0,0,0,0
20,29796,GK,Fraser Forster,6.1,0,0,0,0,23,13,0,0,0,0,1,0
21,313672,DR,Kyle Walker-Peters,6.5,0,0,0,0,49,40,1,0,2,1,0,0
22,362357,DC,Mohammed Salisu,6.9,0,0,2,1,49,42,0,0,3,2,0,0
23,136742,DC,Jan Bednarek,5.9,1,0,1,0,48,42,0,0,2,2,0,0
24,331466,DL,Romain Perraud,7.1,0,1,1,0,48,38,3,1,4,1,1,0
25,93677,MR,Stuart Armstrong,7.4,0,0,4,1,40,38,3,3,2,2,0,0
26,90780,MC,Oriol Romeu,6.8,0,0,4,1,69,63,0,0,3,2,1,0
27,105172,MC,James Ward-Prowse,8.8,0,2,2,1,72,63,0,0,4,3,0,0
28,141732,ML,Mohamed Elyounoussi,8.2,1,0,2,2,34,25,3,3,1,0,0,0
29,393407,FW,Armando Broja,7.5,1,0,4,2,22,14,3,1,1,1,0,0
30,256419,FW,Che Adams,7.8,1,0,3,2,10,6,0,0,1,0,0,0
31,357101,sub,Ibrahima Diallo,6.0,0,0,0,0,0,0,0,0,0,0,0,0
32,13796,sub,Theo Walcott,6.0,0,0,0,0,2,0,0,0,0,0,0,0
33,13798,sub,Shane Long,6.2,0,0,0,0,6,3,1,1,0,0,0,0
34,34749,sub,Willy Caballero,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,323791,sub,Yan Valery,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,363676,sub,Moussa Djenepo,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,92550,sub,Jack Stephens,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,136460,sub,Adam Armstrong,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,390036,sub,William Smallbone,0.0,0,0,0,0,0,0,0,0,0,0,0,0
