,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,355855,sub,Dejan Kulusevski,6.2,0,0,2,0,27,20,2,1,1,1,1,0
1,279425,sub,Steven Bergwijn,6.1,0,0,0,0,9,5,1,1,1,0,0,0
2,328512,sub,Emerson Royal,6.1,0,0,0,0,9,9,0,0,0,0,0,0
3,101859,sub,Pierre-Emile Højbjerg,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,362275,sub,Sergio Reguilón,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,395511,sub,Harvey White,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,407154,sub,Dane Scarlett,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,25604,GK,Hugo Lloris,7.3,0,0,0,0,14,12,0,0,0,0,0,0
10,323663,DC,Cristian Romero,7.0,0,0,1,1,73,68,0,0,4,4,0,0
11,322655,DC,Davinson Sánchez,6.2,0,0,0,0,60,52,0,0,1,0,0,0
12,103837,DC,Ben Davies,6.4,0,0,0,0,68,61,0,0,3,2,0,0
13,94042,DMR,Matt Doherty,6.6,0,0,0,0,70,58,1,0,1,1,0,0
14,322611,DML,Ryan Sessegnon,5.8,0,0,0,0,11,6,1,1,0,0,0,0
15,303657,MC,Rodrigo Bentancur,7.0,0,0,1,0,72,59,2,2,4,3,1,0
16,143990,MC,Harry Winks,6.6,0,0,1,0,76,63,3,1,4,3,0,0
17,92508,AMC,Lucas Moura,6.1,0,0,1,0,24,20,1,0,2,1,1,0
18,91909,AMC,Son Heung-Min,7.1,0,0,3,2,36,30,2,1,0,0,0,0
19,83532,FW,Harry Kane,7.3,0,0,8,4,23,15,4,3,0,0,0,0
20,122714,GK,José Sá,8.1,0,0,0,0,30,13,0,0,1,1,0,0
21,236519,DC,Romain Saïss,7.2,0,0,0,0,56,39,0,0,3,1,0,0
22,97710,DC,Conor Coady,7.1,0,0,0,0,33,28,0,0,0,0,0,0
23,368310,DC,Maximilian Kilman,7.8,0,0,0,0,46,40,1,1,0,0,0,0
24,296363,DMR,Nélson Semedo,7.0,0,0,0,0,35,26,3,2,4,1,0,0
25,355401,DML,Rayan Aït-Nouri,7.4,0,0,1,0,35,24,3,2,5,4,1,0
26,124106,MC,Leander Dendoncker,7.6,1,0,2,2,39,34,0,0,2,1,0,0
27,238244,MC,Rúben Neves,7.2,0,0,2,1,49,38,0,0,2,2,0,0
28,384130,MC,Luke Cundle,6.9,0,0,0,0,25,24,0,0,1,1,0,0
29,108186,FW,Raúl Jiménez,7.9,1,0,3,3,24,15,1,0,3,2,0,0
30,300513,FW,Daniel Podence,6.8,0,0,3,1,25,16,3,0,3,2,0,0
31,380655,sub,Fábio Silva,5.9,0,0,0,0,3,2,0,0,1,0,0,0
32,262854,sub,Hwang Hee-Chan,6.1,0,0,0,0,9,8,1,0,0,0,0,0
33,368409,sub,Trincão,6.2,0,0,0,0,3,3,1,1,0,0,0,0
34,121718,sub,Marçal,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,368547,sub,Ki-Jana Hoever,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,115917,sub,Jonny,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,8643,sub,John Ruddy,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,421894,sub,Chiquinho,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,431283,sub,Toti,0.0,0,0,0,0,0,0,0,0,0,0,0,0
