,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,362275,sub,Sergio Reguilón,7.7,1,0,1,1,30,29,2,1,1,1,0,0
1,279425,sub,Steven Bergwijn,6.1,0,0,2,1,11,10,0,0,1,1,0,0
2,322655,sub,Davinson Sánchez,6.7,0,0,1,0,35,33,0,0,2,2,0,0
3,328512,sub,Emerson Royal,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,92508,sub,Lucas Moura,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,395511,sub,Harvey White,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,143990,sub,Harry Winks,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,25604,GK,Hugo Lloris,6.7,0,0,0,0,21,19,0,0,0,0,0,0
10,323663,DC,Cristian Romero,6.7,0,0,0,0,46,40,0,0,1,1,1,0
11,117973,DC,Eric Dier,7.6,0,0,1,0,89,81,0,0,3,2,0,0
12,103837,DC,Ben Davies,7.4,0,0,0,0,78,71,0,0,2,2,0,0
13,94042,DMR,Matt Doherty,9.5,0,2,1,1,62,52,1,1,6,5,0,0
14,322611,DML,Ryan Sessegnon,6.7,0,0,0,0,18,14,3,1,2,0,0,0
15,101859,MC,Pierre-Emile Højbjerg,7.7,0,0,0,0,88,82,0,0,4,3,0,0
16,303657,MC,Rodrigo Bentancur,7.3,0,0,0,0,84,77,2,2,3,2,0,0
17,355855,AMC,Dejan Kulusevski,8.6,0,2,2,0,41,37,4,2,2,1,0,0
18,91909,AMC,Son Heung-Min,7.9,1,0,2,2,18,15,0,0,6,4,1,0
19,83532,FW,Harry Kane,9.6,2,0,4,2,29,23,2,1,1,1,0,0
20,110189,GK,Jordan Pickford,4.2,0,0,0,0,24,13,0,0,0,0,0,0
21,31826,DR,Séamus Coleman,5.5,0,0,0,0,54,46,2,1,1,0,0,0
22,107941,DC,Michael Keane,4.9,1,0,0,0,42,41,1,1,1,0,0,0
23,297544,DC,Mason Holgate,5.6,0,0,0,0,79,66,0,0,2,2,0,0
24,255961,DL,Jonjoe Kenny,5.5,0,0,0,0,48,43,0,0,1,1,0,0
25,82438,DMC,Allan,5.9,0,0,1,0,79,69,0,0,4,3,0,0
26,275035,DMC,Donny van de Beek,5.6,0,0,0,0,36,35,1,1,1,1,0,0
27,349669,AMR,Anthony Gordon,6.9,0,0,1,0,37,31,9,4,5,4,0,0
28,116317,AMC,Abdoulaye Doucouré,6.3,0,0,0,0,60,54,1,0,6,5,0,0
29,317804,AML,Richarlison,5.9,0,0,1,0,12,9,3,1,2,1,0,0
30,141469,FW,Dominic Calvert-Lewin,5.5,0,0,3,0,8,5,2,1,0,0,0,0
31,381045,sub,Jarrad Branthwaite,5.9,0,0,0,0,16,15,0,0,2,1,0,0
32,131519,sub,Dele Alli,6.1,0,0,0,0,21,20,1,0,2,1,0,0
33,345516,sub,Vitalii Mykolenko,6.2,0,0,0,0,14,10,1,0,1,1,0,0
34,23122,sub,Asmir Begovic,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,232261,sub,Anwar El Ghazi,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,136824,sub,Alexander Iwobi,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,118123,sub,André Gomes,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,25964,sub,Salomón Rondón,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,71522,sub,Andros Townsend,0.0,0,0,0,0,0,0,0,0,0,0,0,0
