,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,24328,sub,Edinson Cavani,6.1,0,0,0,0,7,3,1,0,0,0,0,0
1,413211,sub,Anthony Elanga,6.2,0,0,0,0,8,7,0,0,1,1,0,0
2,100008,sub,Victor Lindelöf,6.0,0,0,0,0,3,3,0,0,0,0,0,0
3,25363,sub,Juan Mata,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,81726,sub,Phil Jones,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,109000,sub,Jesse Lingard,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,304008,sub,Dean Henderson,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,331924,sub,Aaron Wan-Bissaka,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,243814,sub,Eric Bailly,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,79554,GK,David de Gea,5.9,0,0,0,0,23,12,0,0,0,0,0,0
10,353418,DR,Diogo Dalot,7.0,0,0,0,0,51,43,1,1,2,1,0,0
11,93206,DC,Raphaël Varane,6.3,0,0,0,0,47,44,0,0,1,1,0,0
12,99487,DC,Harry Maguire,6.5,1,0,0,0,42,38,0,0,2,1,0,0
13,125793,DL,Alex Telles,6.8,0,1,0,0,45,34,3,3,5,2,0,0
14,114397,DMC,Fred,7.6,0,1,0,0,45,39,4,4,3,1,1,0
15,38128,DMC,Nemanja Matic,6.4,0,0,0,0,44,42,2,1,6,3,0,0
16,300299,AMR,Marcus Rashford,6.4,0,0,0,0,17,15,0,0,3,1,0,0
17,97752,AMC,Paul Pogba,6.5,0,0,1,0,45,35,3,1,3,1,1,0
18,346300,AML,Jadon Sancho,7.9,0,1,1,1,42,38,3,2,1,1,0,0
19,5583,FW,Cristiano Ronaldo,10.0,3,0,8,5,40,38,0,0,0,0,0,0
20,25604,GK,Hugo Lloris,6.4,0,0,0,0,18,14,0,0,0,0,0,0
21,323663,DC,Cristian Romero,6.2,0,0,0,0,83,77,0,0,6,5,0,0
22,117973,DC,Eric Dier,6.0,0,0,2,1,81,75,0,0,0,0,1,0
23,103837,DC,Ben Davies,5.8,0,0,0,0,71,67,1,1,0,0,0,0
24,94042,DMR,Matt Doherty,6.3,0,0,1,0,36,31,1,0,2,1,0,0
25,362275,DML,Sergio Reguilón,6.6,0,0,0,0,46,37,2,2,3,1,0,0
26,101859,MC,Pierre-Emile Højbjerg,7.3,0,0,2,1,91,82,4,4,6,4,0,0
27,303657,MC,Rodrigo Bentancur,6.8,0,0,1,0,65,60,0,0,6,4,0,0
28,355855,AMC,Dejan Kulusevski,6.4,0,0,0,0,28,25,2,1,3,1,0,0
29,91909,AMC,Son Heung-Min,6.6,0,0,2,0,31,29,4,3,0,0,0,0
30,83532,FW,Harry Kane,6.8,1,0,2,1,24,16,2,1,1,0,0,0
31,143990,sub,Harry Winks,5.9,0,0,0,0,5,4,0,0,1,0,0,0
32,279425,sub,Steven Bergwijn,6.0,0,0,0,0,1,1,0,0,0,0,0,0
33,92508,sub,Lucas Moura,6.2,0,0,0,0,4,2,3,2,0,0,0,0
34,328512,sub,Emerson Royal,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,322655,sub,Davinson Sánchez,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,395511,sub,Harvey White,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,407154,sub,Dane Scarlett,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
