,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,39308,sub,Danny Welbeck,6.4,0,0,0,0,4,4,1,1,1,1,0,0
1,386979,sub,Tariq Lamptey,6.0,0,0,0,0,6,6,0,0,0,0,0,0
2,399378,sub,Jakub Moder,6.1,0,0,0,0,3,3,0,0,1,1,0,0
3,362146,sub,Steven Alzate,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,425603,sub,Jeremy Sarmiento,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,353191,sub,Enock Mwepu,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,33532,sub,Jason Steele,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,410175,sub,Moisés Caicedo,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,423719,sub,Marc Leonard,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,362151,GK,Robert Sánchez,6.4,0,0,0,0,30,15,0,0,0,0,0,0
10,110290,DR,Joël Veltman,6.2,0,0,0,0,44,40,1,0,2,2,1,0
11,75692,DC,Shane Duffy,6.3,0,0,2,0,61,56,0,0,1,0,0,0
12,86441,DC,Lewis Dunk,6.1,0,0,0,0,79,69,0,0,2,1,0,0
13,363496,DL,Marc Cucurella,6.4,0,0,1,0,52,41,1,1,1,1,0,0
14,71824,DMC,Pascal Groß,6.5,0,0,0,0,57,53,0,0,2,2,0,0
15,303096,DMC,Yves Bissouma,6.3,0,0,1,0,31,30,0,0,2,2,0,0
16,122926,AMR,Solly March,6.2,0,0,0,0,31,28,0,0,3,1,0,0
17,345319,AMC,Alexis Mac Allister,6.1,0,0,5,0,33,28,0,0,2,2,0,0
18,113994,AML,Leandro Trossard,6.7,0,0,2,0,43,32,3,3,2,2,0,0
19,119822,FW,Neal Maupay,5.9,0,0,4,0,22,19,1,1,1,1,1,0
20,25604,GK,Hugo Lloris,6.6,0,0,0,0,21,19,0,0,0,0,0,0
21,323663,DC,Cristian Romero,7.7,1,0,2,1,71,60,1,0,2,2,1,0
22,117973,DC,Eric Dier,7.0,0,0,0,0,58,52,0,0,0,0,0,0
23,103837,DC,Ben Davies,7.4,0,0,1,0,61,54,0,0,2,2,0,0
24,94042,DMR,Matt Doherty,6.3,0,0,1,0,42,33,0,0,0,0,0,0
25,362275,DML,Sergio Reguilón,7.2,0,0,2,2,41,32,2,1,0,0,1,0
26,101859,MC,Pierre-Emile Højbjerg,7.7,0,0,1,0,74,68,1,1,6,3,0,0
27,303657,MC,Rodrigo Bentancur,8.1,0,1,0,0,80,74,1,0,3,1,0,0
28,355855,AMC,Dejan Kulusevski,7.2,0,0,3,2,33,29,2,0,3,2,0,0
29,91909,AMC,Son Heung-Min,6.6,0,0,1,0,24,22,0,0,0,0,0,0
30,83532,FW,Harry Kane,7.7,1,0,6,2,30,22,4,1,1,1,0,0
31,279425,sub,Steven Bergwijn,6.0,0,0,0,0,0,0,0,0,0,0,0,0
32,92508,sub,Lucas Moura,6.2,0,0,0,0,4,4,2,1,0,0,0,0
33,328512,sub,Emerson Royal,6.2,0,0,0,0,12,12,0,0,0,0,0,0
34,322655,sub,Davinson Sánchez,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,143990,sub,Harry Winks,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,395511,sub,Harvey White,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,407154,sub,Dane Scarlett,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
