,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,143990,sub,Harry Winks,6.3,0,0,1,0,28,28,1,1,0,0,0,0
1,279425,sub,Steven Bergwijn,7.1,1,0,2,1,1,1,1,0,1,1,0,0
2,92508,sub,Lucas Moura,7.0,0,1,0,0,7,7,2,1,1,1,0,0
3,322655,sub,Davinson Sánchez,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,395511,sub,Harvey White,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,407154,sub,Dane Scarlett,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,410513,sub,Jamie Bowden,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,25604,GK,Hugo Lloris,6.0,0,0,0,0,18,14,0,0,0,0,0,0
10,323663,DC,Cristian Romero,7.5,0,0,0,0,82,77,2,2,6,6,0,0
11,117973,DC,Eric Dier,6.8,0,0,2,0,106,98,0,0,1,0,0,0
12,103837,DC,Ben Davies,7.3,1,0,1,1,73,67,0,0,2,1,0,0
13,328512,DMR,Emerson Royal,7.5,1,0,1,1,27,22,0,0,3,1,0,0
14,94042,DML,Matt Doherty,7.8,1,0,1,1,32,27,1,1,1,1,0,0
15,101859,MC,Pierre-Emile Højbjerg,6.9,0,0,1,0,86,80,0,0,1,0,0,0
16,303657,MC,Rodrigo Bentancur,7.2,0,0,1,0,60,54,0,0,4,4,1,0
17,355855,AMC,Dejan Kulusevski,7.9,0,1,0,0,33,31,2,1,3,2,0,0
18,91909,AMC,Son Heung-Min,8.5,1,1,4,2,27,26,1,0,1,0,0,0
19,83532,FW,Harry Kane,7.8,0,1,5,0,24,16,1,0,0,0,1,0
20,46092,GK,Martin Dúbravka,5.0,0,0,0,0,30,22,0,0,0,0,0,0
21,109227,DR,Javier Manquillo,5.8,0,0,0,0,22,20,0,0,2,1,0,0
22,82726,DC,Fabian Schär,6.7,1,0,1,1,55,48,0,0,0,0,0,0
23,82277,DC,Dan Burn,6.1,0,0,1,0,46,38,0,0,1,0,1,0
24,136776,DL,Matt Targett,5.7,0,0,0,0,27,24,0,0,3,2,0,0
25,201755,MC,Joelinton,5.7,0,0,0,0,15,12,1,0,1,1,1,0
26,40027,MC,Jonjo Shelvey,6.4,0,0,2,0,52,45,0,0,3,3,0,0
27,342563,MC,Joseph Willock,6.0,0,0,2,0,22,20,4,3,2,1,0,0
28,93160,FWR,Ryan Fraser,6.2,0,0,0,0,25,22,0,0,1,1,0,0
29,73380,FW,Chris Wood,6.4,0,0,1,0,10,6,0,0,0,0,0,0
30,135891,FWL,Allan Saint-Maximin,6.3,0,0,1,0,31,27,10,4,0,0,1,0
31,141486,sub,Jacob Murphy,5.8,0,0,0,0,7,5,0,0,1,0,0,0
32,105171,sub,Jamaal Lascelles,6.0,0,0,0,0,9,8,0,0,0,0,0,0
33,338780,sub,Bruno Guimarães,6.5,0,0,0,0,28,27,0,0,5,4,0,0
34,100599,sub,Emil Krafth,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,70483,sub,Karl Darlow,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,118326,sub,Dwight Gayle,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,342811,sub,Sean Longstaff,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,68648,sub,Matt Ritchie,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,112009,sub,Paul Dummett,0.0,0,0,0,0,0,0,0,0,0,0,0,0
