,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,8166,sub,Ashley Young,5.9,0,0,0,0,6,6,0,0,0,0,1,0
1,327682,sub,Leon Bailey,6.0,0,0,1,0,5,5,1,1,1,0,0,0
2,260592,sub,Emiliano Buendía,6.2,0,0,1,1,12,11,4,1,2,1,0,0
3,109807,sub,Bertrand Traoré,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,115508,sub,Morgan Sanson,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,41554,sub,Robin Olsen,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,243249,sub,Marvelous Nakamba,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,410639,sub,Carney Chukwuemeka,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,124316,sub,Calum Chambers,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,102248,GK,Emiliano Martínez,5.4,0,0,0,0,11,10,0,0,0,0,0,0
10,322043,DR,Matthew Cash,5.9,0,0,2,2,34,30,0,0,1,1,0,0
11,301440,DC,Ezri Konsa,5.6,0,0,2,0,49,49,0,0,0,0,0,0
12,123167,DC,Tyrone Mings,5.9,0,0,0,0,40,38,1,1,0,0,0,0
13,89925,DL,Lucas Digne,6.1,0,0,0,0,47,43,0,0,1,1,0,0
14,337883,MC,Douglas Luiz,6.5,0,0,0,0,75,72,1,0,9,4,0,0
15,369813,MC,Jacob Ramsey,6.2,0,0,1,1,63,59,2,2,2,2,0,0
16,318449,MC,John McGinn,6.7,0,0,1,1,55,45,5,3,4,2,0,0
17,80767,AMC,Philippe Coutinho,6.6,0,0,3,1,48,36,2,1,0,0,0,0
18,91762,FW,Danny Ings,6.5,0,0,6,1,13,9,1,0,2,2,1,0
19,148503,FW,Ollie Watkins,6.2,0,0,2,1,19,11,1,0,2,2,0,0
20,25604,GK,Hugo Lloris,8.6,0,0,0,0,19,16,0,0,0,0,0,0
21,323663,DC,Cristian Romero,7.8,0,0,0,0,64,55,1,1,7,6,0,0
22,117973,DC,Eric Dier,7.1,0,0,0,0,72,66,0,0,0,0,0,0
23,103837,DC,Ben Davies,6.8,0,0,0,0,44,42,2,1,2,0,0,0
24,328512,DMR,Emerson Royal,7.1,0,0,0,0,47,40,2,1,1,1,1,0
25,94042,DML,Matt Doherty,6.3,0,0,1,0,5,4,0,0,0,0,0,0
26,101859,MC,Pierre-Emile Højbjerg,7.6,0,0,3,0,75,69,3,2,5,3,1,0
27,303657,MC,Rodrigo Bentancur,7.1,0,0,0,0,53,49,2,0,4,2,0,0
28,355855,FWR,Dejan Kulusevski,8.4,1,1,1,1,17,14,1,0,2,1,0,0
29,83532,FW,Harry Kane,9.0,0,2,2,0,15,14,5,3,4,3,1,0
30,91909,FWL,Son Heung-Min,9.6,3,0,3,3,10,6,1,1,1,1,0,0
31,362275,sub,Sergio Reguilón,6.8,0,0,1,1,27,19,0,0,2,2,0,0
32,279425,sub,Steven Bergwijn,6.0,0,0,0,0,6,5,0,0,0,0,0,0
33,92508,sub,Lucas Moura,6.2,0,0,0,0,7,5,0,0,1,1,0,0
34,322655,sub,Davinson Sánchez,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,322611,sub,Ryan Sessegnon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,395511,sub,Harvey White,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,143990,sub,Harry Winks,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
