,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,143990,sub,Harry Winks,5.9,0,0,0,0,5,4,0,0,1,0,0,0
1,355855,sub,Dejan Kulusevski,7.6,0,2,0,0,11,11,4,3,2,2,0,0
2,279425,sub,Steven Bergwijn,5.9,0,0,0,0,2,2,1,0,0,0,0,0
3,322655,sub,Davinson Sánchez,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,395511,sub,Harvey White,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,407154,sub,Dane Scarlett,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,437758,sub,Matthew Craig,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,25604,GK,Hugo Lloris,6.4,0,0,0,0,24,18,0,0,0,0,0,0
10,323663,DC,Cristian Romero,7.4,0,0,1,0,49,40,2,2,3,3,0,0
11,117973,DC,Eric Dier,7.3,0,0,2,1,45,35,0,0,1,1,0,0
12,103837,DC,Ben Davies,7.0,0,0,1,0,54,45,2,2,2,2,1,0
13,328512,DMR,Emerson Royal,7.0,0,0,0,0,30,23,2,1,4,3,0,0
14,322611,DML,Ryan Sessegnon,6.9,0,0,0,0,26,20,1,0,5,3,0,0
15,101859,MC,Pierre-Emile Højbjerg,7.2,0,0,0,0,55,48,1,1,4,2,0,0
16,303657,MC,Rodrigo Bentancur,7.8,0,0,0,0,38,32,1,1,4,4,1,0
17,92508,FWR,Lucas Moura,6.2,0,0,2,0,11,8,3,0,0,0,0,0
18,83532,FW,Harry Kane,7.8,1,0,4,3,27,16,2,0,1,0,0,0
19,91909,FWL,Son Heung-Min,9.7,2,1,3,3,27,23,2,1,1,0,0,0
20,19545,GK,Kasper Schmeichel,6.1,0,0,0,0,22,13,0,0,0,0,0,0
21,141169,DC,Timothy Castagne,6.5,0,0,0,0,91,87,0,0,3,3,0,0
22,243552,DC,Daniel Amartey,6.2,0,0,0,0,90,82,0,0,5,4,1,0
23,317998,DC,Çaglar Söyüncü,6.4,0,0,0,0,88,79,1,0,4,3,0,0
24,42147,DMR,Marc Albrighton,5.8,0,0,0,0,71,51,5,2,1,0,1,0
25,396317,DML,Luke Thomas,5.9,0,0,0,0,61,50,0,0,4,2,1,0
26,345664,MC,Boubakary Soumaré,6.0,0,0,0,0,42,33,2,1,1,0,0,0
27,90278,MC,Nampalys Mendy,5.9,0,0,0,0,63,60,1,1,0,0,0,0
28,135366,MC,Ayoze Pérez,6.2,0,0,2,0,25,22,4,3,2,0,0,0
29,289253,FW,Kelechi Iheanacho,7.0,1,0,2,1,17,14,0,0,2,0,0,0
30,345560,FW,Patson Daka,6.5,0,0,1,1,16,13,1,0,5,4,0,0
31,106981,sub,Jamie Vardy,6.0,0,0,1,0,6,4,1,0,0,0,0,0
32,429681,sub,Lewis Brunt,6.1,0,0,0,0,21,21,1,1,0,0,0,0
33,136345,sub,Youri Tielemans,6.3,0,1,0,0,14,13,0,0,0,0,0,0
34,373946,sub,Wesley Fofana,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,331382,sub,Harvey Barnes,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,299451,sub,Ademola Lookman,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,301441,sub,James Justin,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,312670,sub,Hamza Choudhury,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,99165,sub,Danny Ward,0.0,0,0,0,0,0,0,0,0,0,0,0,0
