,ID,Position,Player,Rating,Goal,Assist,Shots,SOT,Pass,PA,DB,DB_W,TK,TK_S,YC,RC
0,368519,sub,Bryan Gil,6.0,0,0,0,0,1,1,0,0,0,0,0,0
1,303908,sub,Giovani Lo Celso,6.1,0,0,2,1,9,7,0,0,0,0,0,0
2,322655,sub,Davinson Sánchez,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3,94042,sub,Matt Doherty,0.0,0,0,0,0,0,0,0,0,0,0,0,0
4,240990,sub,Pierluigi Gollini,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5,407154,sub,Dane Scarlett,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,131519,sub,Dele Alli,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7,143990,sub,Harry Winks,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,302312,sub,Joe Rodon,0.0,0,0,0,0,0,0,0,0,0,0,0,0
9,25604,GK,Hugo Lloris,6.6,0,0,0,0,25,15,0,0,0,0,0,0
10,328512,DR,Emerson Royal,7.8,0,0,1,0,43,32,2,2,2,2,0,0
11,323663,DC,Cristian Romero,6.9,0,0,0,0,42,31,0,0,2,2,1,0
12,117973,DC,Eric Dier,7.4,0,0,0,0,44,36,0,0,1,1,0,0
13,362275,DL,Sergio Reguilón,7.6,0,0,0,0,38,34,4,2,6,4,0,0
14,101859,DMC,Pierre-Emile Højbjerg,8.4,1,0,1,1,66,59,5,5,2,2,0,0
15,364215,DMC,Oliver Skipp,6.5,0,0,0,0,39,34,0,0,2,2,1,0
16,92508,AMR,Lucas Moura,7.2,0,0,1,0,42,33,4,2,1,0,0,0
17,321389,AMC,Tanguy Ndombele,6.4,0,0,1,1,25,18,2,1,0,0,0,0
18,91909,AML,Son Heung-Min,7.1,0,1,5,1,36,31,4,3,0,0,0,0
19,83532,FW,Harry Kane,7.5,0,0,6,4,28,18,4,1,2,1,0,0
20,102248,GK,Emiliano Martínez,7.1,0,0,0,0,32,19,0,0,1,1,0,0
21,301440,DC,Ezri Konsa,6.6,0,0,1,0,29,26,1,0,2,2,0,0
22,123167,DC,Tyrone Mings,7.1,0,0,0,0,52,35,0,0,3,1,0,0
23,134207,DC,Kortney Hause,6.7,0,0,0,0,39,28,2,1,1,1,0,0
24,322043,DMR,Matthew Cash,6.0,0,0,2,0,26,16,2,1,6,1,0,0
25,136776,DML,Matt Targett,7.3,1,1,1,0,27,18,1,0,5,4,0,0
26,337883,MC,Douglas Luiz,6.6,0,0,0,0,34,25,1,0,7,4,0,0
27,369813,MC,Jacob Ramsey,6.1,0,0,2,0,12,9,2,1,4,2,1,0
28,318449,MC,John McGinn,6.5,0,0,3,1,29,20,2,1,4,3,0,0
29,91762,FW,Danny Ings,6.3,0,0,2,1,11,7,0,0,3,2,0,0
30,148503,FW,Ollie Watkins,7.0,1,0,3,1,17,15,3,0,0,0,0,0
31,382363,sub,Cameron Archer,6.0,0,0,0,0,0,0,0,0,0,0,0,0
32,109807,sub,Bertrand Traoré,6.0,0,0,0,0,2,1,0,0,0,0,0,0
33,260592,sub,Emiliano Buendía,5.9,0,0,0,0,8,7,0,0,1,0,0,0
34,232261,sub,Anwar El Ghazi,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,243249,sub,Marvelous Nakamba,0.0,0,0,0,0,0,0,0,0,0,0,0,0
36,299271,sub,Axel Tuanzebe,0.0,0,0,0,0,0,0,0,0,0,0,0,0
37,8166,sub,Ashley Young,0.0,0,0,0,0,0,0,0,0,0,0,0,0
38,82745,sub,Jed Steer,0.0,0,0,0,0,0,0,0,0,0,0,0,0
39,411335,sub,Jaden Philogene-Bidace,0.0,0,0,0,0,0,0,0,0,0,0,0,0
